iter	Passed	Remaining
0	3	372
1	7	362
2	11	366
3	14	350
4	18	349
5	21	343
6	25	342
7	29	338
8	32	326
9	34	311
10	36	297
11	38	283
12	40	269
13	42	258
14	43	246
15	45	236
16	46	225
17	47	216
18	48	207
19	49	199
20	51	192
21	52	184
22	53	178
23	54	172
24	55	166
25	56	161
26	57	155
27	58	149
28	59	144
29	59	139
30	60	135
31	61	130
32	62	126
33	63	122
34	64	118
35	64	115
36	65	111
37	66	108
38	66	104
39	67	101
40	68	98
41	68	94
42	69	92
43	70	89
44	70	86
45	71	83
46	72	81
47	72	78
48	73	76
49	73	73
50	74	71
51	75	69
52	75	67
53	76	65
54	76	62
55	77	60
56	78	59
57	78	57
58	79	55
59	80	53
60	80	51
61	81	50
62	82	48
63	82	46
64	83	45
65	84	43
66	84	41
67	85	40
68	86	38
69	86	37
70	87	35
71	87	34
72	88	32
73	89	31
74	89	29
75	90	28
76	91	27
77	91	25
78	92	24
79	92	23
80	93	21
81	94	20
82	94	19
83	95	18
84	95	16
85	96	15
86	97	14
87	97	13
88	98	12
89	99	11
90	99	9
91	100	8
92	100	7
93	101	6
94	102	5
95	102	4
96	103	3
97	103	2
98	104	1
99	105	0
