iter	Passed	Remaining
0	133	133170
1	135	67848
2	138	45933
3	140	35086
4	145	29043
5	148	24521
6	150	21316
7	152	18896
8	154	17010
9	159	15768
10	161	14495
11	163	13442
12	165	12554
13	167	11802
14	169	11140
15	173	10656
16	175	10161
17	178	9717
18	180	9313
19	182	8944
20	186	8716
21	189	8420
22	192	8160
23	194	7911
24	196	7677
25	201	7543
26	202	7314
27	204	7098
28	206	6903
29	207	6709
30	208	6531
31	210	6362
32	211	6206
33	215	6119
34	216	5978
35	218	5841
36	219	5713
37	221	5605
38	222	5494
39	224	5388
40	226	5290
41	230	5255
42	232	5171
43	234	5085
44	235	5002
45	237	4930
46	239	4853
47	240	4774
48	242	4706
49	245	4666
50	248	4617
51	250	4571
52	253	4530
53	257	4509
54	259	4454
55	261	4401
56	263	4353
57	265	4304
58	266	4255
59	270	4238
60	272	4196
61	274	4150
62	276	4105
63	278	4069
64	280	4028
65	281	3989
66	285	3971
67	287	3938
68	289	3904
69	291	3870
70	292	3833
71	294	3797
72	296	3765
73	300	3759
74	302	3725
75	303	3692
76	305	3660
77	307	3630
78	308	3601
79	310	3573
80	312	3545
81	315	3526
82	315	3489
83	317	3462
84	319	3436
85	322	3423
86	323	3397
87	325	3370
88	329	3377
89	334	3377
90	335	3354
91	337	3331
92	339	3309
93	341	3288
94	345	3292
95	347	3269
96	348	3248
97	350	3227
98	352	3206
99	353	3185
100	355	3166
101	359	3162
102	360	3143
103	362	3124
104	364	3105
105	366	3092
106	368	3075
107	370	3060
108	372	3041
109	374	3028
110	376	3012
111	377	2996
112	379	2980
113	381	2964
114	383	2951
115	387	2953
116	389	2936
117	390	2922
118	392	2907
119	394	2894
120	396	2880
121	397	2863
122	399	2849
123	401	2836
124	403	2822
125	405	2809
126	406	2793
127	408	2780
128	410	2768
129	411	2754
130	416	2761
131	418	2749
132	419	2737
133	421	2725
134	423	2716
135	425	2704
136	427	2692
137	429	2685
138	431	2673
139	433	2661
140	434	2649
141	436	2634
142	437	2624
143	439	2614
144	443	2617
145	445	2607
146	447	2596
147	449	2585
148	450	2574
149	452	2564
150	454	2554
151	459	2561
152	460	2550
153	462	2540
154	464	2530
155	465	2521
156	467	2511
157	469	2500
158	474	2507
159	476	2499
160	477	2486
161	479	2480
162	480	2469
163	482	2459
164	484	2449
165	485	2441
166	488	2438
167	490	2429
168	492	2420
169	494	2412
170	496	2406
171	498	2397
172	499	2389
173	503	2390
174	505	2382
175	506	2373
176	508	2365
177	511	2360
178	513	2353
179	514	2344
180	518	2345
181	520	2337
182	522	2331
183	523	2322
184	525	2313
185	526	2305
186	528	2297
187	530	2290
188	533	2289
189	535	2281
190	536	2273
191	538	2266
192	540	2259
193	541	2251
194	543	2243
195	545	2236
196	549	2238
197	550	2230
198	553	2226
199	554	2218
200	556	2211
201	558	2204
202	559	2197
203	563	2197
204	564	2190
205	566	2184
206	568	2177
207	570	2173
208	572	2168
209	574	2161
210	577	2159
211	579	2152
212	580	2146
213	582	2139
214	584	2133
215	585	2126
216	587	2119
217	588	2112
218	590	2105
219	593	2103
220	595	2098
221	596	2092
222	598	2085
223	600	2079
224	601	2072
225	603	2065
226	604	2059
227	609	2063
228	611	2057
229	613	2052
230	614	2047
231	616	2041
232	618	2034
233	619	2029
234	623	2031
235	625	2025
236	627	2019
237	629	2015
238	630	2008
239	632	2003
240	634	1997
241	638	1999
242	640	1994
243	641	1988
244	643	1982
245	645	1977
246	646	1971
247	648	1965
248	650	1960
249	653	1961
250	655	1955
251	656	1949
252	658	1943
253	659	1936
254	660	1930
255	662	1924
256	663	1918
257	664	1912
258	666	1906
259	668	1903
260	670	1898
261	671	1892
262	673	1886
263	674	1880
264	675	1874
265	677	1868
266	678	1862
267	679	1856
268	683	1857
269	684	1851
270	686	1846
271	687	1840
272	689	1835
273	690	1829
274	691	1824
275	693	1818
276	694	1813
277	696	1809
278	699	1808
279	701	1803
280	703	1798
281	704	1794
282	706	1790
283	707	1784
284	709	1779
285	710	1774
286	713	1773
287	715	1768
288	716	1762
289	717	1757
290	719	1752
291	720	1747
292	722	1742
293	723	1737
294	724	1732
295	726	1728
296	729	1726
297	730	1721
298	732	1717
299	734	1713
300	736	1709
301	738	1707
302	740	1704
303	746	1708
304	748	1705
305	750	1702
306	752	1698
307	754	1695
308	756	1691
309	758	1687
310	759	1683
311	761	1679
312	763	1675
313	765	1671
314	766	1667
315	768	1662
316	769	1658
317	773	1659
318	776	1656
319	778	1654
320	780	1650
321	781	1646
322	783	1642
323	786	1640
324	789	1638
325	790	1635
326	793	1632
327	796	1632
328	799	1630
329	804	1634
330	806	1630
331	808	1626
332	810	1622
333	811	1618
334	813	1614
335	814	1610
336	819	1611
337	821	1609
338	823	1606
339	827	1606
340	829	1602
341	833	1603
342	835	1599
343	837	1596
344	838	1592
345	840	1588
346	842	1584
347	843	1581
348	845	1577
349	849	1578
350	851	1574
351	852	1569
352	854	1566
353	855	1561
354	857	1557
355	858	1553
356	859	1548
357	861	1544
358	864	1543
359	865	1538
360	867	1534
361	868	1530
362	870	1526
363	871	1522
364	872	1518
365	874	1514
366	876	1512
367	879	1510
368	882	1509
369	885	1507
370	887	1504
371	889	1500
372	893	1501
373	895	1498
374	896	1494
